Ursprungspfad;Vorgeschlagener_Wiki_Ordner;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50004984_Imara.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50004986_Frontier_Thera,.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50004987_BioBloom.md;Ernährung_Nahrungsergänzung;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50004988_Samira-Kosmetik_Dora_Hofer_&_Till_Hofer_GbR.md;Naturkosmetik_Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50004989_Vermonde.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50004990_Tytex.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50004991_Will-Pharma_-_Warehouse_Europe.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50004992_von_Moers.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50004995_Zippelius_unipersonale.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50004996_SCHMERZ_UND_TAP.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50004997_Winter,group_Zweigniederlassung_Langenzenn.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50004999_ACTO_GmbH.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005000_HRA_Pharma_Deutschland.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005001_KlosterA,Sonnef_H.Auernhammer.md;Ernährung_Nahrungsergänzung;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005002_Aurora.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005003_Pharno-Wedropharm_GmbH.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005004_Micreos_Human.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005006_Recordati_Rare_Germany_GmbH.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005007_Pharmatis.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005010_Sprinzl.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005011_Medionic.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005012_VAAY.md;Naturkosmetik_Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005013_Colostrum_Biot,.md;Ernährung_Nahrungsergänzung;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005014_Warnecke.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005016_SEMPERIT_m.b.H.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005017_Tentan_Deutschland_GmbH.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005019_Vita_Sanotec.md;Ernährung_Nahrungsergänzung;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005021_ZWZ_Pharma.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005022_Mama_Aua_Prod,.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005023_larome.md;Naturkosmetik_Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005025_BWX_Brands_UK.md;Naturkosmetik_Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005026_Arcomed,Regensd.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005027_SeeWald_Produktion_und_Entwicklung_GmbH.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005028_Phytocomm_Lux,.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005029_Wilms.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005031_Novacutan.md;Naturkosmetik_Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005033_Smart_OTC.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005034_Brambel_Germany.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005035_Ulrike_Gloger_Api-Zentrum_Ruhr.md;Naturkosmetik_Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005036_Lavanta_Sevgi_Bicakci.md;Naturkosmetik_Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005037_elito_Health.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005038_Signature.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005039_Karo_Pharma_GmbH.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005042_ACE_GmbH.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005044_HCP_GmbH.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005045_Schurer_Ph,&Ko,_&_Kosmetik_GmbH.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005048_Arion_Holding.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005049_Hydrotech_GmbH_&_Co._KG.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005051_AFH_Webshop_Rainer_Zumasch.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005052_Hair_Doctor.md;Naturkosmetik_Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005054_IVC_Pragen.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005055_Top_Caredent.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005056_EVR_Medical.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005058_DT.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005059_Pharmact.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005060_DEFAMED.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005061_Swiss_Med,Food.md;Ernährung_Nahrungsergänzung;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005062_APOPROS_GMBH_&_CO_KG.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005063_ZYX_Music.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005064_ISL.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005065_FRIO_DEUTSCHLAN.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005067_Reskin_Medical.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005068_VISUfarma.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005069_Centax_Pharma.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005070_FMT.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005071_China_TCM.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005072_Swiss_Point.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005073_Ströbele.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005074_Selected_Pharma_GmbH.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005075_Nussyy.md;Ernährung_Nahrungsergänzung;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005077_Drossapharm_AG.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005078_Ashera_Cosmetic_Inh._Jacqueline_Heimgärtner.md;Naturkosmetik_Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005081_Atnahs_Ph,Neth,_Netherlands_B.V.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005082_Schirm.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005083_Secret_of_Heal,.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005084_Vayamed_GmbH.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005086_Mentaldrain,.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005087_Qidosha.md;Ernährung_Nahrungsergänzung;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005088_Ogima_Pro.md;Ernährung_Nahrungsergänzung;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005090_Sunlife_Vertriebsgesellschaft_mbH.md;Ernährung_Nahrungsergänzung;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005092_Atro_ProVita.md;Ernährung_Nahrungsergänzung;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005094_Petrasch_Pharm._Fabrik.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005096_VitalAire.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005097_Loovara_Intim,.md;Naturkosmetik_Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005098_Bübchen_Skinc,.md;Naturkosmetik_Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005100_Rayonex_Biomed,.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005103_Euspiron.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005104_yaweco_Inh._Yasmin_Debrah_Weber.md;Naturkosmetik_Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005105_Phyne.md;Naturkosmetik_Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005106_Scipharm.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005107_1001_Frucht_Inh._Mohamad_Ali_Morady.md;Ernährung_Nahrungsergänzung;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005109_Bodywise.md;Ernährung_Nahrungsergänzung;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005111_China-Agentur_Deonal_KG.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005114_AixSwiss.md;Ernährung_Nahrungsergänzung;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005115_AHG.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005117_Bayha.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005120_St,Michael-Ap,.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005123_Alfasigma.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005124_Mithra_Pharmaceuticals.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005126_Lobeck_Medical.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005127_ExtraVit.md;Ernährung_Nahrungsergänzung;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005128_MPF_GmbH.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005131_Dr,_Juice_Ph,.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005132_Nordmark_Pharma_GmbH.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005135_Birkmayer_Handel_u._Projektentwicklung.md;Ernährung_Nahrungsergänzung;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005136_Vifor_Pharma_Deutschland_GmbH.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005137_Penta_Arzneimittel_GmbH.md;Pharma_Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005138_Leyana.md;Dienstleistung_Handel_Sonstiges;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005139_GECO_Sportswear_Oberritter.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005140_das_boep.md;Kosmetik & Pflege;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005141_h-test.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005143_Xaradent_GmbH.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005145_Rats-Ap,,Rhein,_Wissel_e.K.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005147_IEA_Trading_GmbH.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005148_DT_Medical_Devices_GmbH_Vertrieb_von_Medizinischen_Hilfsmitteln.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005149_Böttger.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005150_Le_Manoir_Dr,K,_Crememanufaktur.md;Kosmetik & Pflege;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005151_Rondell-Ap,_Sonja_Michalke_e.K.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005152_Solidmind_Group.md;Nahrungsergänzung & Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005153_Suntribe.md;Kosmetik & Pflege;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005155_Novaprax.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005160_Cantourage.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005162_Rochus_Vital_Gesundheit_mbH.md;Nahrungsergänzung & Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005163_BNS_Internat,.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005169_Prestige_Brands.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005171_Nimbus_Health_GmbH.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005172_Cheiron_Pharma.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005173_Venobis.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005175_Precision_Dipp,_LIMITED.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005176_Oekopur.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005177_BestMediaWeb.md;Dienstleister;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005178_Özdemir_Teehand_Burhanettin_â„¢zdemir.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005179_Mensch.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005182_LykonDX_GmbH.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005183_Swiss_Organic.md;Nahrungsergänzung & Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005184_ARBITRAGE_SALES_LTD.md;Dienstleister;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005185_Shabenaa_ApS_WSG_ATT_Shabenaa_ApS.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005186_NutriMedical.md;Nahrungsergänzung & Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005188_Krieger_Produkt.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005190_Cattani_Herbac,.md;Nahrungsergänzung & Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005191_R,O,C,S,.md;Kosmetik & Pflege;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005192_Angela_Q,.md;Kosmetik & Pflege;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005195_vitalkind_Kosmetikindustrie_in_Heidelberg.md;Kosmetik & Pflege;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005196_YOUTH.md;Kosmetik & Pflege;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005197_KMS_Verkaufsf,.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005199_MAXMO_Apo,,Köln.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005200_Primal_State_P,.md;Nahrungsergänzung & Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005201_Grünes_Licht.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005202_OZONE_GOLD_Ger,.md;Nahrungsergänzung & Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005203_Oswald_Oswald_Import-Export_GmbH.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005204_Swiss_Elan.md;Nahrungsergänzung & Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005205_Trio_Healthcare.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005206_Evalar.md;Nahrungsergänzung & Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005207_BlueHarbour.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005208_Pemax_Kunstst,.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005209_Reutter-provita_und_Vertriebs_GmbH.md;Nahrungsergänzung & Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005210_Therascience_G,.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005211_SZ.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005213_Braccia_Pr,Entw_ug_(haftungsbeschränkt).md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005215_Apotheke_Beck.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005216_Venipharm.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005217_BFARM_und_Medizinprodukte.md;Regulierung & Behörden;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005218_Vedax.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005219_KGV_GmbH.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005220_isaac_nutrition.md;Nahrungsergänzung & Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005222_Angelini_Pharma_Deutschland_GmbH.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005224_cosmode.md;Kosmetik & Pflege;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005225_lifestone.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005227_benley.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005228_FAP.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005230_Definizium_Rec,_Inh._Cynthia_Müller.md;Dienstleister;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005231_Aroma_Garden.md;Kosmetik & Pflege;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005232_AS_Apoth,Serv,.md;Dienstleister;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005233_DEMECAN_Holding_GmbH.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005235_Pit.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005237_Primus_&_CO._GmbH_&CO.KG.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005238_PHARMA-LABOR_Apotheker_H._Förster_GmbH.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005239_Gonadosan.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005240_M2Beaute_Cosm,.md;Kosmetik & Pflege;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005241_IncHealth.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005243_Sourceplan.md;Dienstleister;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005244_Volopharm.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005246_Ruthner.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005247_Thrust_Vector.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005248_Nordtran_Ostseegrüne.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005252_WMG_Pharma.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005253_Solnova.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005254_ATT_Drogenvert,.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005256_Aqua_Plan.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005257_Allergone_Euro,_Dr._Joachim_Endres.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005258_kosmara_and_care.md;Kosmetik & Pflege;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005259_Quintessence_GmbH_&_Co.KG.md;Nahrungsergänzung & Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005260_Heaton.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005261_TG_GmbH.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005262_Schreiber,Resh,_Reshape_Healthcare.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005264_Ahorn_Sportsw,_GmbH.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005266_Welz_Care.md;Kosmetik & Pflege;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005267_Travel_Blue.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005270_Pharmann.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005272_Celltrion_H,_Hungary_Kft.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005273_Greenhouse_Maul.md;Handel & Produkte (Divers);;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005274_Stratpharma.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005279_POST_APOTHEKE_Ifigenia_Ropkas_EKfr.md;Pharma & Medizin;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005280_BO_Berlin_Org,.md;Nahrungsergänzung & Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005281_Kur-u,Bäder_Bad_Dürrheim.md;Nahrungsergänzung & Wellness;;
C:\CodexProjekte\FirmenApp\Projekt\Ausgabedaten\MD\50005282_AOP_Orphan_Pharmaceuticals_Germany_GmbH.md;Pharma & Medizin;;
